x, y, v_x, v_y
0, 0, 494.909, 495.04
4.94909, 4.9504, 494.771, 494.803
9.8968, 9.89843, 494.632, 494.567
14.8431, 14.8441, 494.494, 494.33
19.7881, 19.7874, 494.356, 494.094
24.7316, 24.7283, 494.218, 493.858
29.6738, 29.6669, 494.079, 493.622
34.6146, 34.6031, 493.941, 493.386
39.554, 39.537, 493.803, 493.15
44.492, 44.4685, 493.666, 492.914
49.4287, 49.3976, 493.528, 492.678
54.364, 54.3244, 493.39, 492.443
59.2979, 59.2488, 493.253, 492.207
64.2304, 64.1709, 493.115, 491.972
69.1616, 69.0906, 492.978, 491.737
74.0913, 74.008, 492.84, 491.502
79.0197, 78.923, 492.703, 491.267
83.9468, 83.8357, 492.566, 491.032
88.8724, 88.746, 492.429, 490.797
93.7967, 93.654, 492.292, 490.563
98.7196, 98.5596, 492.155, 490.328
103.641, 103.463, 492.018, 490.094
108.561, 108.364, 491.882, 489.86
113.48, 113.262, 491.745, 489.625
118.398, 118.159, 491.609, 489.391
123.314, 123.053, 491.472, 489.158
128.228, 127.944, 491.336, 488.924
133.142, 132.833, 491.2, 488.69
138.054, 137.72, 491.064, 488.457
142.964, 142.605, 490.928, 488.223
147.874, 147.487, 490.792, 487.99
152.782, 152.367, 490.656, 487.757
157.688, 157.245, 490.52, 487.524
162.593, 162.12, 490.384, 487.291
167.497, 166.993, 490.249, 487.058
172.4, 171.863, 490.113, 486.825
177.301, 176.732, 489.978, 486.592
182.201, 181.597, 489.842, 486.36
187.099, 186.461, 489.707, 486.128
191.996, 191.322, 489.572, 485.895
196.892, 196.181, 489.437, 485.663
201.786, 201.038, 489.302, 485.431
206.679, 205.892, 489.167, 485.199
211.571, 210.744, 489.032, 484.967
216.461, 215.594, 488.897, 484.736
221.35, 220.441, 488.763, 484.504
226.238, 225.286, 488.628, 484.273
231.124, 230.129, 488.494, 484.041
236.009, 234.969, 488.359, 483.81
240.893, 239.808, 488.225, 483.579
245.775, 244.643, 488.091, 483.348
250.656, 249.477, 487.957, 483.117
255.535, 254.308, 487.823, 482.886
260.414, 259.137, 487.689, 482.655
265.291, 263.963, 487.555, 482.425
270.166, 268.788, 487.421, 482.194
275.04, 273.61, 487.288, 481.964
279.913, 278.429, 487.154, 481.734
284.785, 283.247, 487.021, 481.504
289.655, 288.062, 486.887, 481.274
294.524, 292.874, 486.754, 481.044
299.391, 297.685, 486.621, 480.814
304.258, 302.493, 486.487, 480.584
309.122, 307.299, 486.354, 480.355
313.986, 312.102, 486.221, 480.125
318.848, 316.904, 486.088, 479.896
323.709, 321.702, 485.956, 479.667
328.569, 326.499, 485.823, 479.438
333.427, 331.294, 485.69, 479.209
338.284, 336.086, 485.558, 478.98
343.139, 340.875, 485.425, 478.751
347.994, 345.663, 485.293, 478.522
352.846, 350.448, 485.161, 478.294
357.698, 355.231, 485.028, 478.065
362.548, 360.012, 484.896, 477.837
367.397, 364.79, 484.764, 477.609
372.245, 369.566, 484.632, 477.381
377.091, 374.34, 484.5, 477.153
381.936, 379.112, 484.369, 476.925
